timestamp,image_path,dataset_name,processed_index,status,mean_abs_diff,median_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,area_ratio_above_threshold,cell_001_mean_abs_diff,cell_001_p95_abs_diff,cell_001_area_ratio_above_threshold,cell_002_mean_abs_diff,cell_002_p95_abs_diff,cell_002_area_ratio_above_threshold,cell_003_mean_abs_diff,cell_003_p95_abs_diff,cell_003_area_ratio_above_threshold,cell_004_mean_abs_diff,cell_004_p95_abs_diff,cell_004_area_ratio_above_threshold,cell_005_mean_abs_diff,cell_005_p95_abs_diff,cell_005_area_ratio_above_threshold,cell_006_mean_abs_diff,cell_006_p95_abs_diff,cell_006_area_ratio_above_threshold,cell_007_mean_abs_diff,cell_007_p95_abs_diff,cell_007_area_ratio_above_threshold,cell_008_mean_abs_diff,cell_008_p95_abs_diff,cell_008_area_ratio_above_threshold,cell_009_mean_abs_diff,cell_009_p95_abs_diff,cell_009_area_ratio_above_threshold,cell_010_mean_abs_diff,cell_010_p95_abs_diff,cell_010_area_ratio_above_threshold,cell_011_mean_abs_diff,cell_011_p95_abs_diff,cell_011_area_ratio_above_threshold,cell_012_mean_abs_diff,cell_012_p95_abs_diff,cell_012_area_ratio_above_threshold,cell_013_mean_abs_diff,cell_013_p95_abs_diff,cell_013_area_ratio_above_threshold,cell_014_mean_abs_diff,cell_014_p95_abs_diff,cell_014_area_ratio_above_threshold,cell_015_mean_abs_diff,cell_015_p95_abs_diff,cell_015_area_ratio_above_threshold,cell_016_mean_abs_diff,cell_016_p95_abs_diff,cell_016_area_ratio_above_threshold,cell_017_mean_abs_diff,cell_017_p95_abs_diff,cell_017_area_ratio_above_threshold,cell_018_mean_abs_diff,cell_018_p95_abs_diff,cell_018_area_ratio_above_threshold,cell_019_mean_abs_diff,cell_019_p95_abs_diff,cell_019_area_ratio_above_threshold,cell_020_mean_abs_diff,cell_020_p95_abs_diff,cell_020_area_ratio_above_threshold,cell_021_mean_abs_diff,cell_021_p95_abs_diff,cell_021_area_ratio_above_threshold,cell_022_mean_abs_diff,cell_022_p95_abs_diff,cell_022_area_ratio_above_threshold,cell_023_mean_abs_diff,cell_023_p95_abs_diff,cell_023_area_ratio_above_threshold,cell_024_mean_abs_diff,cell_024_p95_abs_diff,cell_024_area_ratio_above_threshold,cell_025_mean_abs_diff,cell_025_p95_abs_diff,cell_025_area_ratio_above_threshold,max_cell_p95_abs_diff,top2_cell_p95_abs_diff_mean,affected_cell_count,affected_cell_ratio
2025-03-01 08:00:00,sample_data/synthetic_test/phase_01/synthetic_20250301_080000.tif,synthetic_test,0,insufficient_live_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:05:00,sample_data/synthetic_test/phase_01/synthetic_20250301_080500.tif,synthetic_test,1,insufficient_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:10:00,sample_data/synthetic_test/phase_01/synthetic_20250301_081000.tif,synthetic_test,2,insufficient_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:15:00,sample_data/synthetic_test/phase_01/synthetic_20250301_081500.tif,synthetic_test,3,insufficient_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:20:00,sample_data/synthetic_test/phase_01/synthetic_20250301_082000.tif,synthetic_test,4,insufficient_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:25:00,sample_data/synthetic_test/phase_01/synthetic_20250301_082500.tif,synthetic_test,5,insufficient_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:30:00,sample_data/synthetic_test/phase_01/synthetic_20250301_083000.tif,synthetic_test,6,insufficient_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01 08:35:00,sample_data/synthetic_test/phase_01/synthetic_20250301_083500.tif,synthetic_test,7,ok,18.321537017822266,14.796875,21.009387969970703,139.19862365722656,200.4609375,0.04090440924027662,14.551322937011719,18.723949432373047,0.0,14.723655700683594,18.62827491760254,0.0,14.627093315124512,18.349609375,0.0,14.686075210571289,18.728404998779297,0.0,14.431135177612305,18.64907455444336,0.0,30.828514099121094,127.1318130493164,0.21664626682986537,34.02988815307617,131.02395629882812,0.2496969696969697,15.245478630065918,19.393505096435547,0.0,14.958121299743652,19.347675323486328,0.0,14.678738594055176,18.41925048828125,0.0,33.355499267578125,146.4596405029297,0.19975490196078433,54.57223129272461,180.08944702148438,0.3863080684596577,15.412174224853516,19.702733993530273,0.0,15.221595764160156,19.4903507232666,0.0,14.525238990783691,18.578125,0.0,14.45853042602539,18.677200317382812,0.0,14.536582946777344,19.066425323486328,0.0,15.043344497680664,19.009374618530273,0.0,14.91944694519043,18.71875,0.0,14.450260162353516,18.18671226501465,0.0,14.019153594970703,17.56707763671875,0.0,14.461009979248047,18.193634033203125,0.0,14.249794960021973,18.360015869140625,0.0,14.625718116760254,18.606781005859375,0.0,14.255843162536621,18.17449951171875,0.0,180.08944702148438,163.27454376220703,4.0,0.16
2025-03-01 08:40:00,sample_data/synthetic_test/phase_01/synthetic_20250301_084000.tif,synthetic_test,8,ok,16.470837593078613,13.010406494140625,19.03411865234375,137.7688980102539,198.60678100585938,0.03982539604688803,12.588196754455566,16.51457166671753,0.0,13.026786804199219,16.958993911743164,0.0,12.810518741607666,16.747726440429688,0.0,12.886611938476562,16.85163688659668,0.0,12.661312580108643,16.710087299346924,0.0,28.46669292449951,124.11199951171875,0.20134638922888617,32.19549369812012,133.08956909179688,0.24,13.274995803833008,17.4678373336792,0.0,13.133817195892334,17.453925132751465,0.0,12.89297103881836,16.80596923828125,0.0,31.203970909118652,140.4680938720703,0.19791666666666669,52.51660346984863,173.857421875,0.38569682151589246,13.558634281158447,17.909645080566406,0.0,13.36981725692749,17.580862522125244,0.0,12.699359893798828,16.602989196777344,0.0,12.802635192871094,16.887301445007324,0.0,12.796290874481201,17.123251914978027,0.0,13.182915687561035,16.992181301116943,0.0,13.011110782623291,16.98398447036743,0.0,12.723560333251953,16.45884084701538,0.0,12.198121547698975,15.75300121307373,0.0,12.7208890914917,16.63255786895752,0.0,12.525405406951904,16.54816436767578,0.0,12.810277938842773,16.794921875,0.0,12.497430324554443,16.29754638671875,0.0,173.857421875,157.33241653442383,4.0,0.16
2025-03-01 08:45:00,sample_data/synthetic_test/phase_01/synthetic_20250301_084500.tif,synthetic_test,9,ok,14.520648002624512,11.125,17.073262532552082,135.56797790527344,196.4852498372396,0.03835401441953995,10.755269686381022,14.663193384806315,0.0,11.18769884109497,15.114422798156738,0.0,10.946580092112223,15.003046671549479,0.0,10.930676460266113,14.885119438171387,0.0,10.862104733784994,14.889110247294107,0.0,25.814971288045246,119.75193786621094,0.1844145246838025,29.806853612263996,130.8857625325521,0.22303030303030302,11.28709634145101,15.438541412353516,0.0,11.215843518575033,15.419891675313314,0.0,10.94974692662557,14.807271321614584,0.0,29.17469024658203,138.19769287109375,0.1948529411764706,50.4580332438151,172.01771036783853,0.3859005704971475,11.555801232655844,15.901692708333334,0.0,11.403894742329916,15.502475102742514,0.0,10.837901592254639,14.783279418945312,0.0,10.938011487325033,14.962628046671549,0.0,10.999648094177246,15.153875986735025,0.0,11.21536636352539,14.9954833984375,0.0,11.110214551289877,15.06979783376058,0.0,10.902023474375406,14.646608352661133,0.0,10.402605374654135,14.057126681009928,0.0,10.826469580332438,14.844528198242188,0.0,10.69183905919393,14.823557535807291,0.0,10.88566255569458,14.870447794596354,0.0,10.680218060811361,14.409947713216146,0.0,172.01771036783853,155.22080739339194,4.0,0.16
